,SERVICES,SERVICE_DATA,MIN_ALL,MIN_ANALYSIS,MIN_PLANNING,MIN_EXECUTION,MAX_ALL,MAX_ANALYSIS,MAX_PLANNING,MAX_EXECUTION,AVG_ALL,AVG_ANALYSIS,AVG_PLANNING,AVG_EXECUTION,STD_ALL,STD_ANALYSIS,STD_PLANNING,STD_EXECUTION
G2.3.3,50,10,3.8624973967671394e-05,0.0018684170208871365,0.007052832981571555,0.003454042016528547,3.970804391428828e-05,0.0035437080077826977,0.007777125050779432,0.004153957997914404,3.8966594729572535e-05,0.0019181984143363823,0.0071813905391101005,0.0035477676119626267,4.3722903892111017e-07,8.251708709919535e-05,6.292288253372888e-05,7.112495964522936e-05
G4.2.1,50,10,4.591600736603141e-05,0.0023464160040020943,0.008784333011135459,0.004540499998256564,4.6667002607136965e-05,0.003415999992284924,0.009520583029370755,0.005200874991714954,4.6097110801686845e-05,0.002395806415368576,0.008985801422674846,0.004640564071585821,2.3126892589329174e-07,6.49204418829916e-05,6.907250448166288e-05,7.797464807830112e-05
G4.2.2,50,10,5.0332979299128056e-05,0.002617499965708703,0.009868749999441206,0.004881959001068026,5.150004290044308e-05,0.0027422920102253556,0.011159458954352885,0.0050344589981250465,5.0485716201364994e-05,0.0026530716783645762,0.010086334155057558,0.004987616608737082,1.9567782520611008e-07,2.5428949416269054e-05,0.00018910608014416905,3.3475098251949146e-05
G4.2.3,50,10,4.958402132615447e-05,0.0025659159873612225,0.009530915995128453,0.004880583030171692,5.137501284480095e-05,0.002641500032041222,0.012286874989513308,0.005003916041459888,5.002501420676708e-05,0.0025806388928714193,0.009792662740108513,0.004967898283176488,7.606469295355013e-07,7.387609474088171e-06,0.00030535494238302137,3.083826663299093e-05
G2.3.1,50,25,4.75830165669322e-05,0.005358499998692423,0.0205454159877263,0.010032582969870418,4.854099825024605e-05,0.007253375020809472,0.021211542014498264,0.011095750029198825,4.784141201525926e-05,0.00549787587553442,0.020711004246995613,0.010249487818171732,3.9659811740226155e-07,0.0001590802778538252,8.31902347544951e-05,0.00016959124612601562
G2.3.2,50,25,4.379200981929898e-05,0.00501470803283155,0.018915250024292618,0.009662500000558794,4.520901711657643e-05,0.006632999982684851,0.019155207963194698,0.011837166035547853,4.41503943875432e-05,0.005140730210138029,0.019064338885484932,0.009899016776986312,5.993443195497627e-07,0.0001906676291195292,4.796536671008303e-05,0.0002687071102664307
G2.3.3,50,25,4.954199539497495e-05,0.005747957970015705,0.021260916953906417,0.010520416020881385,5.1749986596405506e-05,0.005787833011709154,0.023052292002830654,0.01135966699803248,5.010000895708799e-05,0.005762255027684137,0.021733929083603335,0.010723307526898273,9.272603956131016e-07,7.462520203444736e-06,0.0003111132074484367,7.469642454703394e-05
G4.2.1,50,25,5.366600817069411e-05,0.006394082971382886,0.02411900000879541,0.012385625042952597,6.666703848168254e-05,0.006624917034059763,0.02654145803535357,0.012956374965142459,5.706934219536682e-05,0.00650280968962344,0.024593626096334663,0.012640313293503161,4.7769651970346005e-06,2.376636128878593e-05,0.00040368476908604915,9.294027566834065e-05
G4.2.2,50,25,4.962499951943755e-05,0.005906958016566932,0.02217554103117436,0.01144341699546203,5.1332986913621426e-05,0.006065083027351648,0.02546854200772941,0.012212334026116878,4.999300775428613e-05,0.0059959482642154335,0.022613263867485026,0.011658585239439906,6.609785042039713e-07,5.4076814690455636e-05,0.0004926424348794177,0.00011175727000620303
G4.2.3,50,25,4.862499190494418e-05,0.005881124990992248,0.02205341699300334,0.011360500007867813,5.112495273351669e-05,0.006266666983719915,0.02418612502515316,0.0118499580421485,4.9174984451383355e-05,0.00593923989286208,0.02251510551561498,0.01145555443178058,1.0910567085469128e-06,6.278014467817517e-05,0.0003905305790515673,0.00010913869917671573
